epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0427,1.25464,1.6355,0.90939,0.82534,0.85185,0.8795,0.5872,1.05552,1.01304,0.89054,0.00038341,0.00038341,0.00038341
2,113.207,1.16257,0.77602,0.88249,0.72513,0.85913,0.79053,0.49617,1.234,0.847,0.91119,0.000767977,0.000767977,0.000767977
3,158.85,1.14695,0.70827,0.87789,0.66386,0.76577,0.89013,0.49796,1.36239,0.93767,0.92839,0.0011367,0.0011367,0.0011367
4,205.552,1.1618,0.70424,0.87845,0.81952,0.85362,0.90857,0.56611,1.17356,0.7278,0.89627,0.00148958,0.00148958,0.00148958
5,249.13,1.12107,0.68064,0.87723,0.89451,0.91454,0.94287,0.64351,1.04195,0.62109,0.88722,0.00153497,0.00153497,0.00153497
6,294.688,1.15315,0.66213,0.88018,0.88381,0.91489,0.93837,0.63997,1.05465,0.61467,0.88292,0.00150197,0.00150197,0.00150197
7,339.109,1.14285,0.64117,0.87218,0.91067,0.92094,0.94564,0.64794,1.03944,0.5536,0.87617,0.00146896,0.00146896,0.00146896
8,384.312,1.09806,0.61867,0.86985,0.83317,0.83146,0.89672,0.60368,1.02856,0.66219,0.89279,0.00143595,0.00143595,0.00143595
9,428.226,1.0613,0.60241,0.86548,0.71255,0.48423,0.63484,0.39593,1.44902,1.37328,1.02841,0.00140295,0.00140295,0.00140295
10,474.531,1.02775,0.57572,0.864,0.90955,0.92994,0.95576,0.66756,0.98495,0.53772,0.8738,0.00136994,0.00136994,0.00136994
11,518.617,1.08337,0.59047,0.86287,0.90643,0.912,0.94977,0.65676,1.01909,0.58366,0.87406,0.00133693,0.00133693,0.00133693
12,563.597,1.06825,0.5878,0.86613,0.87019,0.91265,0.94347,0.65148,1.04731,0.60269,0.88041,0.00130393,0.00130393,0.00130393
13,606.524,1.09026,0.59199,0.86722,0.91301,0.93432,0.95454,0.65599,1.0382,0.56209,0.87814,0.00127092,0.00127092,0.00127092
14,653.137,1.04949,0.56497,0.86164,0.93158,0.93286,0.97133,0.65947,1.0707,0.54958,0.87478,0.00123791,0.00123791,0.00123791
15,696.203,1.04811,0.56896,0.8579,0.93604,0.94612,0.9601,0.68644,1.02436,0.51065,0.87149,0.00120491,0.00120491,0.00120491
16,740.83,1.05279,0.55712,0.86597,0.94296,0.93988,0.96595,0.66194,1.02471,0.50515,0.86719,0.0011719,0.0011719,0.0011719
17,784.986,1.03724,0.57183,0.85454,0.93629,0.93332,0.9663,0.69015,0.98742,0.50429,0.86793,0.00113889,0.00113889,0.00113889
18,831.815,1.03747,0.56242,0.85325,0.94502,0.94972,0.97223,0.67865,0.9973,0.49712,0.86949,0.00110589,0.00110589,0.00110589
19,874.989,1.02059,0.5427,0.8511,0.91522,0.87607,0.92779,0.57682,1.26186,0.59208,0.90327,0.00107288,0.00107288,0.00107288
20,918.312,1.02292,0.55431,0.85832,0.932,0.93685,0.95585,0.62986,1.13915,0.54459,0.88735,0.00103987,0.00103987,0.00103987
21,956.841,1.01649,0.54673,0.85264,0.9336,0.95101,0.96323,0.68067,0.97711,0.50338,0.8702,0.00100687,0.00100687,0.00100687
22,998.092,1.01043,0.5353,0.84994,0.93361,0.93892,0.96678,0.69223,0.9619,0.49408,0.87013,0.000973861,0.000973861,0.000973861
23,1040.97,1.01862,0.53671,0.85612,0.9257,0.93926,0.96475,0.6934,0.99228,0.49011,0.868,0.000940855,0.000940855,0.000940855
24,1084.62,1.00689,0.53594,0.85383,0.94001,0.94096,0.96567,0.66027,1.10185,0.52358,0.87965,0.000907848,0.000907848,0.000907848
25,1128.39,0.99517,0.53303,0.85446,0.90912,0.9385,0.95449,0.67107,1.02951,0.5219,0.87768,0.000874842,0.000874842,0.000874842
26,1171.06,1.03189,0.52019,0.86235,0.91835,0.92178,0.95661,0.60763,1.13303,0.54951,0.88075,0.000841835,0.000841835,0.000841835
27,1214.33,1.03883,0.53198,0.85883,0.94003,0.94384,0.95868,0.61312,1.19532,0.5448,0.89449,0.000808828,0.000808828,0.000808828
28,1257.63,0.99239,0.52232,0.85187,0.93489,0.94001,0.96309,0.69053,0.98107,0.4841,0.87161,0.000775822,0.000775822,0.000775822
29,1299.83,0.96057,0.50931,0.8486,0.94707,0.93459,0.9591,0.69342,0.95776,0.47097,0.86546,0.000742815,0.000742815,0.000742815
30,1347.29,0.97222,0.51227,0.85572,0.94391,0.92868,0.96504,0.70507,0.91721,0.45671,0.86643,0.000709809,0.000709809,0.000709809
31,1392.34,0.97798,0.51812,0.84719,0.94225,0.9308,0.96497,0.70318,0.933,0.46206,0.86554,0.000676802,0.000676802,0.000676802
32,1436.4,0.98063,0.5148,0.85451,0.94511,0.94946,0.96095,0.65392,1.09362,0.50062,0.87662,0.000643795,0.000643795,0.000643795
33,1481.59,0.96794,0.50783,0.85149,0.93894,0.95063,0.9601,0.65225,1.14177,0.51245,0.88018,0.000610789,0.000610789,0.000610789
34,1527.26,0.96149,0.4957,0.85228,0.94455,0.94317,0.96295,0.72099,0.90282,0.44159,0.86131,0.000577782,0.000577782,0.000577782
35,1571.64,0.94787,0.50224,0.84976,0.94136,0.93988,0.96023,0.66386,1.10208,0.50058,0.88351,0.000544776,0.000544776,0.000544776
36,1617.06,0.94198,0.49358,0.84295,0.93024,0.9401,0.96023,0.7035,0.92631,0.46494,0.87196,0.000511769,0.000511769,0.000511769
37,1662.82,0.9753,0.49887,0.84703,0.9464,0.94249,0.96503,0.70477,0.96866,0.4677,0.86669,0.000478762,0.000478762,0.000478762
38,1707.54,0.97067,0.48648,0.84894,0.95203,0.94791,0.9667,0.72248,0.91548,0.43744,0.86071,0.000445756,0.000445756,0.000445756
39,1754.68,0.95076,0.47978,0.84883,0.94149,0.94423,0.96366,0.71776,0.89574,0.4351,0.8622,0.000412749,0.000412749,0.000412749
40,1799.83,0.91656,0.47723,0.83938,0.94892,0.95341,0.96347,0.68222,1.03487,0.46609,0.87344,0.000379743,0.000379743,0.000379743
41,1862.24,0.88606,0.45618,0.85003,0.9425,0.95019,0.95696,0.61689,1.14596,0.4996,0.88773,0.000346736,0.000346736,0.000346736
42,1906.84,0.89512,0.45688,0.84718,0.94265,0.94845,0.9614,0.7119,0.90458,0.43938,0.8612,0.000313729,0.000313729,0.000313729
